,App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver,Cleaned_Size
13,Mandala Coloring Book,ART_AND_DESIGN,4.6,4326,21.0,100000,Free,0.0,Everyone,Art & Design,"June 26, 2018",1.0.4,4.4 and up,21
14,3D Color Pixel by Number - Sandbox Art Coloring,ART_AND_DESIGN,4.4,1518,37.0,100000,Free,0.0,Everyone,Art & Design,"August 3, 2018",1.2.3,2.3 and up,37
15,Learn To Draw Kawaii Characters,ART_AND_DESIGN,3.2,55,2.7,5000,Free,0.0,Everyone,Art & Design,"June 6, 2018",Varies with device,4.2 and up,2.7
16,Photo Designer - Write your name with shapes,ART_AND_DESIGN,4.7,3632,5.5,500000,Free,0.0,Everyone,Art & Design,"July 31, 2018",3.1,4.1 and up,5.5
17,350 Diy Room Decor Ideas,ART_AND_DESIGN,4.5,27,17.0,10000,Free,0.0,Everyone,Art & Design,"November 7, 2017",1.0,2.3 and up,17
18,FlipaClip - Cartoon animation,ART_AND_DESIGN,4.3,194216,39.0,5000000,Free,0.0,Everyone,Art & Design,"August 3, 2018",2.2.5,4.0.3 and up,39
19,ibis Paint X,ART_AND_DESIGN,4.6,224399,31.0,10000000,Free,0.0,Everyone,Art & Design,"July 30, 2018",5.5.4,4.1 and up,31
20,Logo Maker - Small Business,ART_AND_DESIGN,4.0,450,14.0,100000,Free,0.0,Everyone,Art & Design,"April 20, 2018",4.0,4.1 and up,14
21,Boys Photo Editor - Six Pack & Men's Suit,ART_AND_DESIGN,4.1,654,12.0,100000,Free,0.0,Everyone,Art & Design,"March 20, 2018",1.1,4.0.3 and up,12
22,Superheroes Wallpapers | 4K Backgrounds,ART_AND_DESIGN,4.7,7699,4.2,500000,Free,0.0,Everyone 10+,Art & Design,"July 12, 2018",2.2.6.2,4.0.3 and up,4.2
24,HD Mickey Minnie Wallpapers,ART_AND_DESIGN,4.7,118,23.0,50000,Free,0.0,Everyone,Art & Design,"July 7, 2018",1.1.3,4.1 and up,23
25,Harley Quinn wallpapers HD,ART_AND_DESIGN,4.8,192,6.0,10000,Free,0.0,Everyone,Art & Design,"April 25, 2018",1.5,3.0 and up,6.0
26,Colorfit - Drawing & Coloring,ART_AND_DESIGN,4.7,20260,25.0,500000,Free,0.0,Everyone,Art & Design;Creativity,"October 11, 2017",1.0.8,4.0.3 and up,25
27,Animated Photo Editor,ART_AND_DESIGN,4.1,203,6.1,100000,Free,0.0,Everyone,Art & Design,"March 21, 2018",1.03,4.0.3 and up,6.1
28,Pencil Sketch Drawing,ART_AND_DESIGN,3.9,136,4.6,10000,Free,0.0,Everyone,Art & Design,"July 12, 2018",6.0,2.3 and up,4.6
29,Easy Realistic Drawing Tutorial,ART_AND_DESIGN,4.1,223,4.2,100000,Free,0.0,Everyone,Art & Design,"August 22, 2017",1.0,2.3 and up,4.2
30,Pink Silver Bow Keyboard Theme,ART_AND_DESIGN,4.2,1120,9.2,100000,Free,0.0,Everyone,Art & Design,"July 12, 2018",6.7.12.2018,4.0.3 and up,9.2
31,Art Drawing Ideas,ART_AND_DESIGN,4.1,227,5.2,50000,Free,0.0,Everyone,Art & Design,"May 31, 2018",1.2,2.3 and up,5.2
32,Anime Manga Coloring Book,ART_AND_DESIGN,4.5,5035,11.0,100000,Free,0.0,Everyone,Art & Design,"July 19, 2018",2.20,4.0 and up,11
33,Easy Origami Ideas,ART_AND_DESIGN,4.2,1015,11.0,100000,Free,0.0,Everyone,Art & Design,"January 6, 2018",1.1.0,4.1 and up,11
34,I Creative Idea,ART_AND_DESIGN,4.7,353,4.2,10000,Free,0.0,Teen,Art & Design,"April 27, 2018",1.6,4.1 and up,4.2
35,How to draw Ladybug and Cat Noir,ART_AND_DESIGN,3.8,564,9.2,100000,Free,0.0,Everyone,Art & Design,"July 11, 2018",2.1,4.1 and up,9.2
36,UNICORN - Color By Number & Pixel Art Coloring,ART_AND_DESIGN,4.7,8145,24.0,500000,Free,0.0,Everyone,Art & Design;Creativity,"August 2, 2018",1.0.9,4.4 and up,24
38,PIP Camera - PIP Collage Maker,ART_AND_DESIGN,4.7,158,11.0,10000,Free,0.0,Everyone,Art & Design,"November 29, 2017",1.3,4.0.3 and up,11
39,How To Color Disney Princess - Coloring Pages,ART_AND_DESIGN,4.0,591,9.4,500000,Free,0.0,Everyone,Art & Design,"March 31, 2018",1,4.0 and up,9.4
40,Drawing Clothes Fashion Ideas,ART_AND_DESIGN,4.2,117,15.0,10000,Free,0.0,Everyone,Art & Design,"July 20, 2018",2.0.1,4.0.3 and up,15
41,Sad Poetry Photo Frames 2018,ART_AND_DESIGN,4.5,176,10.0,100000,Free,0.0,Everyone,Art & Design,"April 2, 2018",1.0,4.0.3 and up,10
43,Paint Splash!,ART_AND_DESIGN,3.8,2206,1.2,100000,Free,0.0,Everyone,Art & Design;Creativity,"April 15, 2018",1.46,4.1 and up,1.2
44,Popsicle Sticks and Similar DIY Craft Ideas,ART_AND_DESIGN,4.2,26,12.0,10000,Free,0.0,Everyone,Art & Design,"January 3, 2018",1.0.0,4.1 and up,12
45,"Canva: Poster, banner, card maker & graphic design",ART_AND_DESIGN,4.7,174531,24.0,10000000,Free,0.0,Everyone,Art & Design,"July 31, 2018",1.6.1,4.1 and up,24
46,Install images with music to make video without Net - 2018,ART_AND_DESIGN,4.6,1070,26.0,100000,Free,0.0,Everyone,Art & Design,"November 14, 2017",1.6,4.1 and up,26
47,Little Teddy Bear Colouring Book Game,ART_AND_DESIGN,4.2,85,8.0,100000,Free,0.0,Everyone,Art & Design,"December 17, 2017",2.0.0,4.1 and up,8.0
48,How To Draw Food,ART_AND_DESIGN,4.3,845,7.9,100000,Free,0.0,Everyone,Art & Design,"May 28, 2018",1.0,2.3 and up,7.9
49,Monster Truck Stunt 3D 2019,AUTO_AND_VEHICLES,4.2,367,25.0,100000,Free,0.0,Everyone,Auto & Vehicles,"May 10, 2018",1.0,4.0.3 and up,25
50,Real Tractor Farming,AUTO_AND_VEHICLES,4.0,1598,56.0,1000000,Free,0.0,Everyone,Auto & Vehicles,"July 26, 2018",11.0,4.1 and up,56
51,Ultimate F1 Racing Championship,AUTO_AND_VEHICLES,3.8,284,57.0,100000,Free,0.0,Everyone,Auto & Vehicles,"July 26, 2018",3.0,4.1 and up,57
53,American Muscle Car Race,AUTO_AND_VEHICLES,3.9,129,35.0,100000,Free,0.0,Everyone,Auto & Vehicles,"July 26, 2018",3.0,4.1 and up,35
54,Offroad Oil Tanker Driver Transport Truck 2019,AUTO_AND_VEHICLES,4.3,542,33.0,100000,Free,0.0,Everyone,Auto & Vehicles,"July 31, 2018",4.0,4.1 and up,33
55,Tickets SDA 2018 and Exam from the State Traffic Safety Inspectorate with Drom.ru,AUTO_AND_VEHICLES,4.9,10479,33.0,100000,Free,0.0,Everyone,Auto & Vehicles,"July 18, 2018",1.7.1,4.0 and up,33
56,Gas Prices (Germany only),AUTO_AND_VEHICLES,4.4,805,5.6,50000,Free,0.0,Everyone,Auto & Vehicles,"July 29, 2018",2.5.1,4.4 and up,5.6
57,Extreme Rally Championship,AUTO_AND_VEHICLES,4.2,129,54.0,100000,Free,0.0,Everyone,Auto & Vehicles,"July 26, 2018",3.0,4.1 and up,54
58,Restart Navigator,AUTO_AND_VEHICLES,4.0,1403,83.35,100000,Free,0.0,Everyone,Auto & Vehicles,"August 26, 2014",1.0.1,2.2 and up,201
59,"REG - Check the regnumber, find information about Swedish vehicles",AUTO_AND_VEHICLES,3.9,3971,3.6,100000,Free,0.0,Everyone,Auto & Vehicles,"July 30, 2018",2.493,4.4 and up,3.6
60,CityBus Lviv,AUTO_AND_VEHICLES,4.6,534,5.7,10000,Free,0.0,Everyone,Auto & Vehicles,"July 8, 2018",1.9.1,4.0.3 and up,5.7
61,CDL Practice Test 2018 Edition,AUTO_AND_VEHICLES,4.9,7774,17.0,100000,Free,0.0,Everyone,Auto & Vehicles,"July 3, 2018",1.7,4.2 and up,17
62,"ezETC (ETC balance inquiry, meter trial, real-time traffic)",AUTO_AND_VEHICLES,4.3,38846,8.6,1000000,Free,0.0,Everyone,Auto & Vehicles,"July 28, 2018",2.20 Build 02,4.1 and up,8.6
63,Free VIN Report for Used Cars,AUTO_AND_VEHICLES,4.6,2431,2.4,100000,Free,0.0,Everyone,Auto & Vehicles,"June 12, 2018",1.37,4.0 and up,2.4
64,DMV Permit Practice Test 2018 Edition,AUTO_AND_VEHICLES,4.9,6090,27.0,100000,Free,0.0,Everyone,Auto & Vehicles,"July 3, 2018",1.7,4.2 and up,27
65,Check Vehicle Tax,AUTO_AND_VEHICLES,3.9,295,2.7,10000,Free,0.0,Everyone,Auto & Vehicles,"July 30, 2018",0.2.1,4.4 and up,2.7
66,Used Cars Mexico,AUTO_AND_VEHICLES,4.0,190,2.5,50000,Free,0.0,Everyone,Auto & Vehicles,"October 14, 2016",1.0,2.3 and up,2.5
69,Used cars for sale - Trovit,AUTO_AND_VEHICLES,4.2,52530,7.0,5000000,Free,0.0,Everyone,Auto & Vehicles,"July 16, 2018",4.47.3,4.0.3 and up,7.0
70,"Fines of the State Traffic Safety Inspectorate are official: inspection, payment of fines",AUTO_AND_VEHICLES,4.8,116986,35.0,5000000,Free,0.0,Everyone,Auto & Vehicles,"August 2, 2018",1.9.7,4.0.3 and up,35
71,SK Enca Direct Malls - Used Cars Search,AUTO_AND_VEHICLES,3.6,1379,16.0,500000,Free,0.0,Everyone,Auto & Vehicles,"August 2, 2018",2.2.21,4.2 and up,16
72,"Android Auto - Maps, Media, Messaging & Voice",AUTO_AND_VEHICLES,4.2,271920,16.0,10000000,Free,0.0,Teen,Auto & Vehicles,"July 11, 2018",Varies with device,5.0 and up,16
74,Tickets SDA 2019 + Exam RF,AUTO_AND_VEHICLES,4.8,7021,17.0,500000,Free,0.0,Everyone,Auto & Vehicles,"July 27, 2018",1.79,4.0 and up,17
75,Super Cars Wallpapers And Backgrounds,AUTO_AND_VEHICLES,4.6,197,3.4,50000,Free,0.0,Everyone,Auto & Vehicles,"June 14, 2018",1.3,4.0 and up,3.4
76,"Police Lights, Sirens & Follow Me",AUTO_AND_VEHICLES,4.5,737,8.9,100000,Free,0.0,Everyone,Auto & Vehicles,"June 8, 2018",2.3.5.1,4.1 and up,8.9
77,Police Detector (Speed Camera Radar),AUTO_AND_VEHICLES,4.3,3574,3.9,1000000,Free,0.0,Everyone 10+,Auto & Vehicles,"July 4, 2018",1.6,4.0 and up,3.9
78,Best Car Wallpapers,AUTO_AND_VEHICLES,4.5,994,2.9,100000,Free,0.0,Everyone,Auto & Vehicles,"March 27, 2018",1.6,4.1 and up,2.9
79,Tickets + PDA 2018 Exam,AUTO_AND_VEHICLES,4.9,197136,38.0,1000000,Free,0.0,Everyone,Auto & Vehicles,"July 15, 2018",8.31,4.1 and up,38
80,Pick Your Part Garage,AUTO_AND_VEHICLES,3.9,142,32.0,50000,Free,0.0,Everyone,Auto & Vehicles,"July 24, 2018",1.1.5.0,6.0 and up,32
81,PakWheels: Buy & Sell Cars,AUTO_AND_VEHICLES,4.4,15168,37.0,1000000,Free,0.0,Everyone,Auto & Vehicles,"July 27, 2018",10.0.2,4.2 and up,37
82,Supervision service,AUTO_AND_VEHICLES,4.0,2155,15.0,500000,Free,0.0,Everyone,Auto & Vehicles,"July 30, 2018",1.10.3,5.0 and up,15
83,Speed Camera Detector - Traffic & Speed Alert,AUTO_AND_VEHICLES,4.3,138,5.4,100000,Free,0.0,Everyone,Auto & Vehicles,"July 23, 2018",1.0,4.0.3 and up,5.4
84,Used car search Goo net whole car Go to net,AUTO_AND_VEHICLES,3.7,5414,18.0,1000000,Free,0.0,Everyone,Auto & Vehicles,"July 23, 2018",3.20.1,4.4 and up,18
86,BEST CAR SOUNDS,AUTO_AND_VEHICLES,4.3,348,38.0,100000,Free,0.0,Everyone,Auto & Vehicles,"July 29, 2018",1.0.3,2.3 and up,38
87,RST - Sale of cars on the PCT,AUTO_AND_VEHICLES,3.2,250,1.1,100000,Free,0.0,Everyone,Auto & Vehicles,"April 27, 2018",1.4,4.0.3 and up,1.1
90,SMS Park,AUTO_AND_VEHICLES,4.5,3617,7.9,100000,Free,0.0,Everyone,Auto & Vehicles,"May 16, 2018",2.8.2,4.1 and up,7.9
91,SKencar,AUTO_AND_VEHICLES,3.7,4806,35.0,1000000,Free,0.0,Everyone,Auto & Vehicles,"July 31, 2018",4.0.3,4.0.3 and up,35
93,auto fines,AUTO_AND_VEHICLES,4.6,31433,17.0,1000000,Free,0.0,Everyone,Auto & Vehicles,"August 2, 2018",1.40,4.0.3 and up,17
94,"Used car is the first car - used car purchase, used car quotation, dealer information to",AUTO_AND_VEHICLES,4.6,5097,19.0,1000000,Free,0.0,Everyone,Auto & Vehicles,"July 23, 2018",1.5.18,4.0.3 and up,19
95,All of the parking lot - National Park application (parking lot search / parking sharing / discount payment),AUTO_AND_VEHICLES,4.0,1754,14.0,500000,Free,0.0,Everyone,Auto & Vehicles,"June 2, 2018",2.3.4,4.0 and up,14
96,Inquiry Fines and Debits of Vehicles,AUTO_AND_VEHICLES,4.4,2680,2.2,500000,Free,0.0,Everyone,Auto & Vehicles,"March 20, 2018",1.03,4.0.3 and up,2.2
97,Gas Station,AUTO_AND_VEHICLES,4.0,1288,4.5,100000,Free,0.0,Everyone,Auto & Vehicles,"April 21, 2018",2.17,4.0 and up,4.5
98,Hush - Beauty for Everyone,BEAUTY,4.7,18900,17.0,500000,Free,0.0,Everyone,Beauty,"August 2, 2018",6.10.1,5.0 and up,17
99,"ipsy: Makeup, Beauty, and Tips",BEAUTY,4.9,49790,14.0,1000000,Free,0.0,Everyone,Beauty,"November 9, 2017",2.3.0,4.1 and up,14
100,Natural recipes for your beauty,BEAUTY,4.7,1150,9.8,100000,Free,0.0,Everyone,Beauty,"May 15, 2018",4.0,4.1 and up,9.8
101,"BestCam Selfie-selfie, beauty camera, photo editor",BEAUTY,3.9,1739,21.0,500000,Free,0.0,Everyone,Beauty,"July 12, 2018",1.0.6,4.0.3 and up,21
103,Beauty Selfie Camera,BEAUTY,4.2,2225,52.0,500000,Free,0.0,Everyone,Beauty,"February 28, 2018",1.6,4.1 and up,52
104,Hairstyles step by step,BEAUTY,4.6,4369,14.0,100000,Free,0.0,Everyone,Beauty,"July 25, 2018",1.9,4.0.3 and up,14
105,Filters for Selfie,BEAUTY,4.3,8572,25.0,1000000,Free,0.0,Everyone,Beauty,"May 10, 2018",1.1.0,4.0 and up,25
106,Tie - Always be happy,BEAUTY,4.7,964,9.0,50000,Free,0.0,Everyone,Beauty,"June 21, 2018",4.0,4.2 and up,9.0
108,Prom MakeUp Tutorial,BEAUTY,4.8,104,12.0,10000,Free,0.0,Everyone,Beauty,"June 26, 2018",1.3,4.0.3 and up,12
110,Sweet Selfie Beauty Camera,BEAUTY,4.3,601,35.0,100000,Free,0.0,Everyone,Beauty,"June 2, 2018",2.0.0,4.0 and up,35
111,Colors of white in Urdu,BEAUTY,4.5,36,6.7,10000,Free,0.0,Everyone,Beauty,"July 26, 2018",6.0,4.0 and up,6.7
112,Selfie Camera Photo Editor & Filter & Sticker,BEAUTY,4.1,187,30.0,50000,Free,0.0,Teen,Beauty,"July 24, 2018",3.0.1,4.0.3 and up,30
114,Eyes Makeup Beauty Tips,BEAUTY,4.2,30,2.9,10000,Free,0.0,Everyone,Beauty,"April 9, 2018",3.3.9,4.0.3 and up,2.9
115,Photo Editor 2018,BEAUTY,4.5,134,17.0,10000,Free,0.0,Everyone,Beauty,"March 1, 2018",1.20,4.0.3 and up,17
116,Step By Step Eyes Makeup Tutorial,BEAUTY,4.4,74,2.9,10000,Free,0.0,Everyone,Beauty,"April 5, 2018",2.3.09,4.0.3 and up,2.9
119,Mirror Camera (Mirror + Selfie Camera),BEAUTY,4.1,9315,2.6,1000000,Free,0.0,Everyone,Beauty,"November 21, 2017",1.4.2,4.0 and up,2.6
120,Beauty Tips - Beauty Tips in Sinhala,BEAUTY,4.4,75,4.2,50000,Free,0.0,Everyone,Beauty,"October 18, 2017",1.0.0,4.0.3 and up,4.2
121,Haircut Tutorials/Haircut Videos,BEAUTY,4.6,38,7.1,10000,Free,0.0,Everyone,Beauty,"May 29, 2018",1.0,4.0 and up,7.1
122,"Sephora: Skin Care, Beauty Makeup & Fragrance Shop",BEAUTY,4.5,26834,57.0,1000000,Free,0.0,Everyone,Beauty,"July 24, 2018",18.5,5.0 and up,57
124,"Sticker Camera - Selfie Filters, Beauty Camera",BEAUTY,3.9,2277,22.0,500000,Free,0.0,Everyone,Beauty,"July 12, 2018",1.1.0,4.0.3 and up,22
125,Filters for B Live,BEAUTY,4.4,2280,24.0,500000,Free,0.0,Everyone,Beauty,"May 14, 2018",1.1.0,4.0 and up,24
127,Facial Wrinkle Reduction,BEAUTY,4.6,184,21.0,10000,Free,0.0,Everyone,Beauty,"July 2, 2018",1.5,4.1 and up,21
128,Makeup Videos,BEAUTY,3.8,9,3.4,5000,Free,0.0,Everyone,Beauty,"June 7, 2018",1.0,4.0 and up,3.4
131,Discover Color,BEAUTY,4.0,364,6.4,100000,Free,0.0,Everyone,Beauty,"May 24, 2018",1.1,4.0.3 and up,6.4
132,Eyeliner step by step 2018,BEAUTY,4.3,18,3.2,5000,Free,0.0,Everyone,Beauty,"June 1, 2018",1.2.13,4.0.3 and up,3.2
133,Dresses Ideas & Fashions +3000,BEAUTY,4.5,473,8.2,100000,Free,0.0,Mature 17+,Beauty,"March 1, 2017",1.0.2.0,1.6 and up,8.2
135,Step By Step Hairstyles For Women,BEAUTY,4.1,66,2.9,10000,Free,0.0,Everyone,Beauty,"April 5, 2018",3.1.89,4.0.3 and up,2.9
136,Rainbow Camera,BEAUTY,3.7,3871,23.0,1000000,Free,0.0,Everyone,Beauty,"July 30, 2018",2.2.0,4.0 and up,23
137,Methods of teeth whitening,BEAUTY,4.7,257,4.6,50000,Free,0.0,Everyone,Beauty,"August 7, 2017",1.0,4.0.3 and up,4.6
138,Girls hairstyles 2018,BEAUTY,4.2,62,3.1,10000,Free,0.0,Everyone,Beauty,"May 28, 2018",1.9.2,4.0.3 and up,3.1
140,E-Book Read - Read Book for free,BOOKS_AND_REFERENCE,4.5,1857,4.9,50000,Free,0.0,Everyone,Books & Reference,"August 3, 2018",1.3.2,4.4 and up,4.9
141,Download free book with green book,BOOKS_AND_REFERENCE,4.6,4478,9.5,100000,Free,0.0,Everyone 10+,Books & Reference,"July 31, 2017",1.1,4.0 and up,9.5
147,Free Panda Radio Music,BOOKS_AND_REFERENCE,4.5,418,4.2,100000,Free,0.0,Everyone,Books & Reference,"March 27, 2018",2.1,4.1 and up,4.2
148,Book store,BOOKS_AND_REFERENCE,4.4,22486,5.4,1000000,Free,0.0,Teen,Books & Reference,"June 6, 2018",3.2.1,4.0 and up,5.4
150,English Grammar Complete Handbook,BOOKS_AND_REFERENCE,4.6,1435,2.8,500000,Free,0.0,Everyone,Books & Reference,"January 21, 2018",1.0,4.0 and up,2.8
151,Free Books - Spirit Fanfiction and Stories,BOOKS_AND_REFERENCE,4.8,116507,5.0,1000000,Free,0.0,Teen,Books & Reference,"August 1, 2018",2.0.075,4.0.3 and up,5.0
153,AlReader -any text book reader,BOOKS_AND_REFERENCE,4.6,90468,5.9,5000000,Free,0.0,Everyone,Books & Reference,"May 27, 2018",1.911805270,2.3 and up,5.9
154,Offline English Dictionary,BOOKS_AND_REFERENCE,4.2,860,13.0,100000,Free,0.0,Everyone,Books & Reference,"July 17, 2018",1.0,4.0.3 and up,13
155,Oxford Dictionary of English : Free,BOOKS_AND_REFERENCE,4.1,363934,7.1,10000000,Free,0.0,Everyone,Books & Reference,"July 11, 2018",9.1.363,4.1 and up,7.1
156,Offline: English to Tagalog Dictionary,BOOKS_AND_REFERENCE,4.7,967,6.7,500000,Free,0.0,Everyone,Books & Reference,"August 4, 2018",1.1.6,4.0.3 and up,6.7
158,FamilySearch Tree,BOOKS_AND_REFERENCE,4.3,17506,17.0,1000000,Free,0.0,Everyone,Books & Reference,"July 20, 2018",2.3.18,4.1 and up,17
159,Cloud of Books,BOOKS_AND_REFERENCE,3.3,1862,19.0,1000000,Free,0.0,Everyone,Books & Reference,"April 27, 2018",2.2.5,4.1 and up,19
160,Recipes of Prophetic Medicine for free,BOOKS_AND_REFERENCE,4.6,2084,6.7,500000,Free,0.0,Everyone,Books & Reference,"May 17, 2018",15.0,2.3 and up,6.7
161,ReadEra – free ebook reader,BOOKS_AND_REFERENCE,4.8,47303,21.0,1000000,Free,0.0,Everyone,Books & Reference,"June 2, 2018",18.05.31+530,4.1 and up,21
164,Ebook Reader,BOOKS_AND_REFERENCE,4.1,85842,37.0,5000000,Free,0.0,Everyone,Books & Reference,"June 25, 2018",5.0.6,4.0 and up,37
165,Litnet - E-books,BOOKS_AND_REFERENCE,4.6,7831,15.0,100000,Free,0.0,Teen,Books & Reference,"July 4, 2018",1.2.3,4.0 and up,15
166,Read books online,BOOKS_AND_REFERENCE,4.1,91615,23.0,5000000,Free,0.0,Mature 17+,Books & Reference,"June 29, 2018",3.12,4.1 and up,23
167,English to Urdu Dictionary,BOOKS_AND_REFERENCE,4.6,4620,19.0,500000,Free,0.0,Everyone,Books & Reference,"November 23, 2017",2.0,4.0.3 and up,19
168,eBoox: book reader fb2 epub zip,BOOKS_AND_REFERENCE,4.7,21336,23.0,1000000,Free,0.0,Everyone,Books & Reference,"June 20, 2018",1.28,3.0 and up,23
169,English Persian Dictionary,BOOKS_AND_REFERENCE,4.5,26875,73.0,500000,Free,0.0,Everyone,Books & Reference,"August 1, 2018",6.0.8,4.0.3 and up,73
170,Flybook,BOOKS_AND_REFERENCE,3.9,1778,4.9,500000,Free,0.0,Mature 17+,Books & Reference,"October 16, 2014",1.0.3,2.1 and up,4.9
171,All Maths Formulas,BOOKS_AND_REFERENCE,4.4,2709,6.8,1000000,Free,0.0,Everyone,Books & Reference,"July 11, 2018",1.9,4.4 and up,6.8
174,English translation from Bengali,BOOKS_AND_REFERENCE,4.5,527,2.9,100000,Free,0.0,Everyone,Books & Reference,"March 31, 2018",14.0,4.0 and up,2.9
175,Pdf Book Download - Read Pdf Book,BOOKS_AND_REFERENCE,4.4,1322,3.5,100000,Free,0.0,Everyone,Books & Reference,"May 28, 2018",6.0,4.0.3 and up,3.5
176,Free Book Reader,BOOKS_AND_REFERENCE,3.4,1680,4.0,100000,Free,0.0,Everyone,Books & Reference,"August 20, 2016",3.05,4.0.3 and up,4.0
177,eBoox new: Reader for fb2 epub zip books,BOOKS_AND_REFERENCE,4.9,2739,21.0,50000,Free,0.0,Everyone,Books & Reference,"July 17, 2018",2.0,3.0 and up,21
178,"Only 30 days in English, the guideline is guaranteed",BOOKS_AND_REFERENCE,4.6,1065,2.3,500000,Free,0.0,Everyone,Books & Reference,"June 16, 2018",1.5,3.0 and up,2.3
181,English-Myanmar Dictionary,BOOKS_AND_REFERENCE,4.4,8788,10.0,1000000,Free,0.0,Everyone,Books & Reference,"July 28, 2018",2.5.3,4.0 and up,10
182,Golden Dictionary (EN-AR),BOOKS_AND_REFERENCE,4.4,51269,6.1,1000000,Free,0.0,Everyone,Books & Reference,"July 19, 2018",7.0.4.6,4.2 and up,6.1
183,All Language Translator Free,BOOKS_AND_REFERENCE,4.4,30105,2.1,1000000,Free,0.0,Everyone,Books & Reference,"July 29, 2018",1.15,4.0.3 and up,2.1
184,Azpen eReader,BOOKS_AND_REFERENCE,3.5,156,42.0,500000,Free,0.0,Everyone,Books & Reference,"February 15, 2018",3.1.7.9,2.2 and up,42
186,English Dictionary - Offline,BOOKS_AND_REFERENCE,4.4,341157,30.0,10000000,Free,0.0,Everyone 10+,Books & Reference,"March 20, 2018",3.9.1,4.2 and up,30
190,ADP Mobile Solutions,BUSINESS,4.3,85185,29.0,5000000,Free,0.0,Everyone,Business,"July 17, 2018",3.4.2,5.0 and up,29
194,OfficeSuite : Free Office + PDF Editor,BUSINESS,4.3,1002861,35.0,100000000,Free,0.0,Everyone,Business,"August 2, 2018",9.7.14188,4.1 and up,35
195,USPS MOBILE®,BUSINESS,3.9,16589,9.1,1000000,Free,0.0,Everyone,Business,"June 14, 2018",4.9.10,4.0.3 and up,9.1
196,Job Search by ZipRecruiter,BUSINESS,4.8,148945,25.0,1000000,Free,0.0,Everyone,Business,"July 19, 2018",5.2.8,5.0 and up,25
197,Curriculum vitae App CV Builder Free Resume Maker,BUSINESS,4.5,4458,3.9,500000,Free,0.0,Everyone,Business,"July 8, 2018",3.3,4.1 and up,3.9
198,Google Primer,BUSINESS,4.4,62272,18.0,10000000,Free,0.0,Everyone,Business,"June 26, 2018",3.550.2,4.1 and up,18
199,Alba Heaven - Alvarez Job Portal Services,BUSINESS,4.0,8941,12.0,5000000,Free,0.0,Everyone,Business,"July 31, 2018",4.6.30,4.0.3 and up,12
200,SuperLivePro,BUSINESS,4.3,46353,21.0,1000000,Free,0.0,Everyone,Business,"April 13, 2016",2.8,1.5 and up,21
205,Polaris Office for LG,BUSINESS,4.2,30847,55.0,5000000,Free,0.0,Everyone,Business,"February 8, 2018",7.3.21,4.1 and up,55
206,Call Blocker,BUSINESS,4.6,188841,3.2,5000000,Free,0.0,Everyone,Business,"June 21, 2018",1.1.13,4.0 and up,3.2
